name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,Procent_masy_max,Kategoria_masy
Dhofar 125,6910,Valid,Acapulcoite,2697.0,Found,2000.0,18.98667,54.6005,"(18.986670, 54.600500)",0.004495,f
Larkman Nunatak 06252,49546,Valid,EH3,2660.1,Found,2006.0,0.0,0.0,"(0.000000, 0.000000)",0.0044335,f
Sayh al Uhaymir 089,23281,Valid,L/LL3.6/3.7,2618.0,Found,2001.0,20.88167,57.2,"(20.881670, 57.200000)",0.004363333333333334,f
Queen Alexandra Range 94204,19846,Valid,EH7,2427.9,Found,1994.0,-84.0,168.0,"(-84.000000, 168.000000)",0.0040465,f
Morden,16743,Valid,"Iron, IAB?",2426.0,Found,1922.0,-30.5,142.33333,"(-30.500000, 142.333330)",0.004043333333333334,f
Northwest Africa 6488,52849,Valid,Eucrite-br,2370.0,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)",0.00395,f
Northwest Africa 7370,56073,Valid,Diogenite-olivine,2290.0,Found,2009.0,22.83333,-6.18333,"(22.833330, -6.183330)",0.0038166666666666666,f
Northwest Africa 7656,56726,Valid,L3.3,2230.0,Found,2012.0,0.0,0.0,"(0.000000, 0.000000)",0.0037166666666666667,f
Allan Hills A77214,1525,Valid,L3.4,2111.0,Found,1977.0,-76.71667,159.66667,"(-76.716670, 159.666670)",0.0035183333333333334,f
Northwest Africa 6706,53611,Valid,L6-melt breccia,2109.0,Found,2011.0,0.0,0.0,"(0.000000, 0.000000)",0.003515,f
Dar al Gani 999,6539,Valid,Ureilite-pmict,2106.0,Found,2000.0,27.02583,16.36583,"(27.025830, 16.365830)",0.00351,f
Northwest Africa 539,17786,Valid,LL3.5,2020.0,Found,2000.0,31.1,-5.18333,"(31.100000, -5.183330)",0.0033666666666666667,f
Northwest Africa 820,17852,Valid,L3-5,2000.0,Found,1999.0,31.41667,-4.18333,"(31.416670, -4.183330)",0.0033333333333333335,f
Dhofar 1449,51710,Valid,L/LL~6,1959.0,Found,2002.0,19.23,54.88,"(19.230000, 54.880000)",0.003265,f
Allan Hills 84001,604,Valid,Martian (OPX),1930.9,Found,1984.0,-76.92031,156.77355,"(-76.920310, 156.773550)",0.0032181666666666665,f
Northwest Africa 5805,50683,Valid,Diogenite-pm,1880.0,Found,2007.0,0.0,0.0,"(0.000000, 0.000000)",0.0031333333333333335,f
Jiddat al Harasis 118,34030,Valid,LL~6,1802.0,Found,2005.0,19.79717,56.7195,"(19.797170, 56.719500)",0.0030033333333333335,f
Sayh al Uhaymir 290,32488,Valid,CH3,1796.0,Found,2004.0,21.07544,57.14703,"(21.075440, 57.147030)",0.0029933333333333335,f
Dhofar 1514,53878,Valid,R3.6,1749.0,Found,2008.0,18.33861,54.38944,"(18.338610, 54.389440)",0.002915,f
Pecora Escarpment 91020,18311,Valid,EL3,1748.6,Found,1991.0,-85.53899,-70.71877,"(-85.538990, -70.718770)",0.0029143333333333334,f
Northwest Africa 6950,54513,Valid,Lunar (gabbro),1649.0,Found,2011.0,0.0,0.0,"(0.000000, 0.000000)",0.0027483333333333335,f
Northwest Africa 7120,54787,Valid,L3-melt breccia,1604.0,Found,2011.0,0.0,0.0,"(0.000000, 0.000000)",0.002673333333333333,f
Warrenton,24215,Valid,CO3.7,1600.0,Fell,1877.0,38.68333,-91.15,"(38.683330, -91.150000)",0.0026666666666666666,f
Sayh al Uhaymir 185,23358,Valid,H/L4-5,1575.3,Found,2002.0,20.51485,57.27738,"(20.514850, 57.277380)",0.0026255,f
Burnwell,5175,Valid,H4-an,1504.0,Fell,1990.0,37.62194,-82.23722,"(37.621940, -82.237220)",0.0025066666666666666,f
Allan Hills A77216,1527,Valid,L3.7-3.9,1470.0,Found,1977.0,-76.71667,159.66667,"(-76.716670, 159.666670)",0.00245,f
Dhofar 168,6953,Valid,LL3/4,1452.0,Found,2000.0,19.04056,54.58167,"(19.040560, 54.581670)",0.00242,f
Dar al Gani 400,5948,Valid,Lunar (anorth),1425.0,Found,1998.0,27.3695,16.19883,"(27.369500, 16.198830)",0.002375,f
Dar al Gani 734,6281,Valid,EL4,1378.0,Found,1997.0,27.13183,16.05,"(27.131830, 16.050000)",0.0022966666666666665,f
Sayh al Uhaymir 182,34004,Valid,L~4,1320.0,Found,2003.0,20.72112,57.1269,"(20.721120, 57.126900)",0.0022,f
Al Huwaysah 005,55636,Valid,L(LL)3.5-3.7,1228.1,Found,2010.0,22.73342,55.33122,"(22.733420, 55.331220)",0.0020468333333333332,f
Pingrup,55547,Valid,H5-melt breccia,1213.0,Found,2011.0,-33.58316,118.65662,"(-33.583160, 118.656620)",0.002021666666666667,f
Northwest Africa 6901,53843,Valid,Achondrite-prim,1197.0,Found,2011.0,0.0,0.0,"(0.000000, 0.000000)",0.001995,f
Yamato 793408,28757,Valid,H3.2-an,1140.0,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)",0.0019,f
Northwest Africa 5423,49140,Valid,R3.8,1120.0,Found,2008.0,0.0,0.0,"(0.000000, 0.000000)",0.0018666666666666666,f
Northwest Africa 7615,56646,Valid,CK6,1100.0,Found,2012.0,0.0,0.0,"(0.000000, 0.000000)",0.0018333333333333333,f
Northwest Africa 6491,52862,Valid,R3-5,1100.0,Found,2004.0,0.0,0.0,"(0.000000, 0.000000)",0.0018333333333333333,f
Shişr 033,23568,Valid,CR,1097.72,Found,2002.0,18.34725,53.7477,"(18.347250, 53.747700)",0.0018295333333333333,f
Tanezrouft 080,31341,Valid,L(LL)5,1056.0,Found,2003.0,24.6544,-0.56928,"(24.654400, -0.569280)",0.00176,f
Hammadah al Hamra 167,11650,Valid,LL4-5,1055.0,Found,1996.0,28.87683,12.42017,"(28.876830, 12.420170)",0.0017583333333333333,f
Elephant Moraine 92002,9404,Valid,CK5,1041.0,Found,1992.0,-76.02353,155.79752,"(-76.023530, 155.797520)",0.001735,f
Bishunpur,5060,Valid,LL3.15,1039.0,Fell,1895.0,25.38333,82.6,"(25.383330, 82.600000)",0.0017316666666666667,f
Ramlat as Sahmah 339,55645,Valid,H3.6-6,1035.8,Found,2010.0,20.79882,55.46208,"(20.798820, 55.462080)",0.0017263333333333334,f
Dar al Gani 369,5917,Valid,H/L3.5,1001.0,Found,1997.0,27.94867,15.90133,"(27.948670, 15.901330)",0.0016683333333333333,f
Lodran,14675,Valid,Lodranite,1000.0,Fell,1868.0,29.53333,71.8,"(29.533330, 71.800000)",0.0016666666666666668,f
Dhofar 1496,51572,Valid,LL(L)3,1000.0,Found,2008.0,18.68712,54.42,"(18.687120, 54.420000)",0.0016666666666666668,f
Northwest Africa 5814,50692,Valid,L/LL3-5,995.0,Found,2006.0,0.0,0.0,"(0.000000, 0.000000)",0.0016583333333333333,f
Sutter's Mill,55529,Valid,C,992.5,Fell,2012.0,38.80389,-120.90806,"(38.803890, -120.908060)",0.0016541666666666666,f
Hart,56555,Valid,CK3,966.0,Found,2010.0,34.37718,-102.11672,"(34.377180, -102.116720)",0.00161,f
Grier (b),11203,Valid,L5-7,929.4,Found,1969.0,34.26667,-103.38333,"(34.266670, -103.383330)",0.001549,f
Northwest Africa 7611,56586,Valid,Lunar,916.0,Found,2012.0,0.0,0.0,"(0.000000, 0.000000)",0.0015266666666666666,f
Pecora Escarpment 82502,18265,Valid,Eucrite-unbr,890.4,Found,1982.0,-85.63333,-68.7,"(-85.633330, -68.700000)",0.001484,f
Northwest Africa 7531,56370,Valid,CR7,868.0,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)",0.0014466666666666666,f
Canyon,5255,Valid,H?,860.0,Found,1957.0,34.96667,-101.93333,"(34.966670, -101.933330)",0.0014333333333333333,f
Northwest Africa 7592,56532,Valid,R3,825.0,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)",0.001375,f
Northwest Africa 6476,52836,Valid,L-melt breccia,800.0,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)",0.0013333333333333333,f
Mokrousovo,16714,Valid,L/LL4/5,789.2,Found,1968.0,55.9,66.7,"(55.900000, 66.700000)",0.0013153333333333333,f
Meteorite Hills 00452,15687,Valid,L(LL)3.05,774.9,Found,2000.0,-79.68333,159.75,"(-79.683330, 159.750000)",0.0012915,f
Northwest Africa 765,17838,Valid,CK4/5,767.0,Found,2000.0,31.56667,-4.51667,"(31.566670, -4.516670)",0.0012783333333333334,f
Northwest Africa 3204,33528,Valid,"Iron, IAB-sHL-an",762.0,Found,2004.0,0.0,0.0,"(0.000000, 0.000000)",0.00127,f
Northwest Africa 828,17857,Valid,H3.0-3.4,738.0,Found,2000.0,30.3,-5.91667,"(30.300000, -5.916670)",0.00123,f
Northwest Africa 7534,57288,Valid,H6-melt breccia,736.0,Found,2012.0,0.0,0.0,"(0.000000, 0.000000)",0.0012266666666666667,f
Northwest Africa 5809,50687,Valid,H/L5,734.0,Found,2001.0,0.0,0.0,"(0.000000, 0.000000)",0.0012233333333333334,f
Uden,24103,Valid,LL7,710.0,Fell,1840.0,51.65,5.61667,"(51.650000, 5.616670)",0.0011833333333333333,f
Moapa Valley,48952,Valid,CM1,698.8,Found,2004.0,36.55722,-114.42694,"(36.557220, -114.426940)",0.0011646666666666667,f
Semarkona,23487,Valid,LL3.00,691.0,Fell,1940.0,22.25,79.0,"(22.250000, 79.000000)",0.0011516666666666667,f
Ouzina,18054,Valid,R4,642.0,Found,1999.0,30.8,-4.18333,"(30.800000, -4.183330)",0.00107,f
Northwest Africa 773,17846,Valid,Lunar (norite),633.0,Found,2000.0,26.76667,-12.81667,"(26.766670, -12.816670)",0.001055,f
Dhofar 1624,54597,Valid,H-melt rock,621.0,Found,2009.0,18.16358,54.27542,"(18.163580, 54.275420)",0.001035,f
